Grab table?,Which Stations?,1st Destination,2nd Destination,3rd Destination,4th Destination,5th Destination,6th Destination,7th Destination,8th Destination,9th Destination,10th Destination,11th Destination,12th Destination,13th Destination,Leave line?,"If Yes, which station(s)?",More food?,"If Yes, which stations?"
Yes,"Vegan,",Vegan,,,,,,,,,,,,,Yes,Grill,No,
Yes,"Global Market,Special,Soups",Soups,Global Market,Special,,,,,,,,,,,No,,No,
No,"Global Market,Special,Drinks",Global Market,Special,Drinks,,,,,,,,,,,No,,No,
Yes,"Family Meal,Pizza,Salad Bar,Water/Juices,Drinks,Fruit",Family Meal,Salad Bar,Pizza,Fruit,Water/Juices,Drinks,,,,,,,,No,,Yes,"Water/Juices,Drinks,"
Yes,"Family Meal,Global Market,",Family Meal,Global Market,,,,,,,,,,,,No,,Yes,Global Market
Yes,"Vegan,Salad Bar",Vegan,Salad Bar,,,,,,,,,,,,Yes,Family Meal,No,
Yes,"Gluten Free,Salad Bar,Drinks,Fruit",Gluten Free,Salad Bar,Fruit,Drinks,,,,,,,,,,No,,Yes,Drinks
No,Grill,Grill,,,,,,,,,,,,,Yes,Grill,Yes,Grill
No,Gluten Free,Gluten Free,,,,,,,,,,,,,No,,No,
No,"Family Meal,Pizza,Drinks",Pizza,Family Meal,Drinks,,,,,,,,,,,No,,No,
Yes,"Global Market,Grill,Salad Bar,Water/Juices",Global Market,Grill,Salad Bar,Water/Juices,,,,,,,,,,No,,Yes,"Fruit,"
Yes,"Family Meal,Grill,Salad Bar,Water/Juices,Fruit,",Family Meal,Grill,Salad Bar,Fruit,Water/Juices,,,,,,,,,No,,No,
Yes,"Global Market,Grill",Grill,Global Market,,,,,,,,,,,,Yes,Family Meal,Yes,Water/Juices
Yes,"Family Meal,Pizza,Vegan,Salad Bar,Drinks,Fruit,Bread,",Family Meal,Pizza,Vegan,Bread,Salad Bar,Fruit,Drinks,,,,,,,No,,Yes,"Pizza,Salad Bar,Bread,"
Yes,"Global Market,Salad Bar,Drinks",Global Market,Salad Bar,Drinks,,,,,,,,,,,No,,No,
Yes,"Grill,Vegan,",Grill,Vegan,,,,,,,,,,,,Yes,Grill,No,
No,"Pizza,Gluten Free,Water/Juices",Gluten Free,Pizza,Water/Juices,,,,,,,,,,,No,,No,
No,"Grill,Salad Bar,Water/Juices,",Grill,Salad Bar,Water/Juices,,,,,,,,,,,No,,Yes,"Drinks,"
Yes,"Special,Gluten Free,",Gluten Free,Special,,,,,,,,,,,,No,,No,
Yes,"Family Meal,Special,",Family Meal,Special,,,,,,,,,,,,No,,Yes,
Yes,"Global Market,Grill,Pizza,Special,Drinks,Deli,",Global Market,Grill,Special,Pizza,Deli,,Drinks,,,,,,,No,,Yes,"Pizza,Drinks,"
Yes,"Family Meal,Global Market,Gluten Free,Vegan,Water/Juices,Drinks,Deli",Family Meal,Global Market,Gluten Free,Vegan,Water/Juices,Drinks,Deli,,,,,,,Yes,Family Meal,No,
Yes,"Family Meal,Global Market,Special,Water/Juices",Global Market,Special,Family Meal,Water/Juices,,,,,,,,,,No,,Yes,"Family Meal,Water/Juices"
Yes,"Global Market,Special",Global Market,Special,,,,,,,,,,,,No,,Yes,"Grill,Salad Bar"
No,"Global Market,Grill,Salad Bar,Fruit",Global Market,Grill,Salad Bar,Fruit,,,,,,,,,,Yes,Grill,Yes,"Global Market,Grill,Bread"
Yes,"Family Meal,Global Market,Pizza,Salad Bar,Water/Juices",Family Meal,Global Market,Pizza,Salad Bar,Water/Juices,,,,,,,,,Yes,Global Market,Yes,"Water/Juices,Drinks"
No,"Global Market,Water/Juices,Fruit",Global Market,Water/Juices,Fruit,,,,,,,,,,,No,,Yes,"Soups,Salad Bar"
No,"Pizza,Gluten Free,Water/Juices,",Gluten Free,Pizza,Water/Juices,,,,,,,,,,,No,,Yes,"Pizza,Water/Juices"
No,"Pizza,Gluten Free",Gluten Free,Pizza,,,,,,,,,,,,No,,Yes,Pizza
Yes,"Family Meal,Grill,Pizza,Special",Grill,Pizza,Family Meal,Special,,,,,,,,,,Yes,"Global Market,Grill,Soups",Yes,"Family Meal,Global Market,Grill"
Yes,"Family Meal,Grill",Family Meal,,Grill,,,,,,,,,,,No,,Yes,"Fruit,"
No,"Global Market,Grill",Global Market,Grill,,,,,,,,,,,,No,,No,
No,"Global Market,Grill,Salad Bar,",Global Market,Grill,Salad Bar,,,,,,,,,,,Yes,Gluten Free,No,
Yes,"Global Market,Soups,Drinks",Global Market,Soups,Drinks,,,,,,,,,,,No,,No,
Yes,"Family Meal,",Family Meal,,,,,,,,,,,,,Yes,Grill,Yes,Fruit
Yes,"Family Meal,Vegan,Water/Juices,",Family Meal,Vegan,Water/Juices,,,,,,,,,,,No,,No,
Yes,"Global Market,Pizza,Gluten Free,Water/Juices,Fruit,",Global Market,Pizza,Gluten Free,Water/Juices,Fruit,,,,,,,,,No,,No,
No,"Special,Salad Bar,Fruit",Special,Salad Bar,Fruit,,,,,,,,,,,No,,No,
